latitude;longitude;data;hora;Sinistro;Chuva;tipo_via_num;tp_veiculo_bicicleta;tp_veiculo_caminhao;tp_veiculo_motocicleta;tp_veiculo_nao_disponivel;tp_veiculo_onibus;tp_veiculo_outros;tp_veiculo_automovel
-22,34325439;-49,07711639;29/05/2023;15;0;0;1;0;0;0;0;0;0;0
-22,32023269;-49,06114896;09/07/2022;1;1;0;0;0;0;0;0;0;0;0
-22,19574417;-49,19434032;23/06/2024;15;0;0;0;0;0;0;0;0;0;0
-22,35337984;-49,04992622;06/01/2024;23;0;0;0;0;0;0;0;0;0;0
-22,32379931;-49,04290817;02/12/2022;2;0;0;0;0;0;0;0;0;0;0
-22,30859612;-49,08890356;14/09/2024;17;1;0;0;0;0;1;0;0;0;1
-22,34269263;-49,05596776;25/03/2024;6;0;0;0;0;0;0;0;0;0;0
-22,3171648;-49,0556895;03/04/2024;13;1;0;1;0;0;1;0;0;0;1
-22,3215774;-49,032571;26/06/2024;13;0;0;0;0;0;0;0;0;0;0
-22,35931318;-49,0659796;03/07/2023;11;0;1;0;0;0;0;0;0;0;0
-22,15278666;-49,13300066;26/07/2022;22;0;0;0;0;0;0;0;0;0;0
-22,28978965;-49,0534063;02/01/2024;21;0;0;0;0;0;0;0;0;0;0
-22,32171269;-49,07024485;31/03/2022;6;0;0;0;0;0;0;0;0;0;0
-22,35217887;-49,07313371;10/11/2024;17;1;0;0;0;0;0;0;0;0;1
-22,3166481;-49,0642315;09/10/2024;11;1;0;0;0;0;1;0;0;0;1
-22,32701743;-49,0229741;20/10/2023;13;0;0;0;0;0;0;0;0;0;0
-22,3618689;-49,08764304;27/10/2024;0;0;0;0;0;0;0;0;0;0;0
-22,28643867;-49,07018768;12/04/2022;15;0;1;0;0;0;0;0;0;0;0
-22,281482;-49,08710756;27/06/2022;17;0;0;1;0;0;0;0;0;0;0
-22,23612577;-49,22277205;12/07/2023;9;0;0;0;0;0;0;0;0;0;0
-22,33912038;-49,06410878;03/05/2022;19;0;1;0;0;0;0;0;0;0;0
-22,32898391;-49,06910848;10/06/2023;21;0;0;0;0;0;0;0;0;0;0
-22,37131032;-49,06087265;29/07/2022;13;0;0;0;0;0;0;0;0;0;0
-22,32027029;-49,03854515;02/04/2024;0;0;1;0;0;0;0;0;0;0;0
-22,33688725;-49,09301282;21/03/2024;11;0;1;0;0;0;0;0;0;0;0
-22,32081252;-49,01383123;06/12/2023;22;0;0;0;0;0;0;0;0;0;0
-22,32002547;-49,06856044;09/06/2022;18;1;0;0;0;0;1;0;0;0;1
-22,33950833;-48,95876415;26/08/2022;21;0;0;0;0;0;0;0;0;0;0
-22,38189698;-49,02828164;05/05/2022;16;0;0;0;0;0;0;0;0;0;0
-22,3719944;-49,0382055;14/02/2025;11;0;0;1;0;0;0;0;0;0;0
-22,32431331;-49,04595275;25/03/2022;15;0;0;0;0;0;0;0;0;0;0
-22,31070511;-49,11791719;13/11/2024;7;1;0;0;0;0;0;0;0;0;0
-22,31638152;-49,07502945;23/08/2024;13;0;0;0;0;0;0;0;0;0;0
-22,32338334;-49,05778002;07/02/2024;8;0;0;0;0;0;0;0;0;0;0
-22,31122851;-49,02400519;12/02/2023;15;1;0;0;0;0;0;0;0;0;0
-22,36663863;-49,04666471;20/03/2024;16;1;0;1;0;1;1;0;0;0;0
-22,31544078;-49,13716185;26/08/2023;22;1;0;0;0;0;0;0;0;0;0
-22,29361913;-49,05486524;11/01/2023;23;1;0;0;0;0;1;0;0;0;1
-22,3195407;-49,0340766;16/12/2023;4;1;0;0;0;0;1;0;0;0;0
-22,33108962;-49,0781726;09/02/2022;19;1;0;0;0;0;0;0;0;0;0
-22,3085995;-49,0727112;04/02/2022;3;0;0;0;0;0;0;0;0;0;0
-22,30138805;-49,060435;29/10/2024;3;0;1;0;0;0;0;0;0;0;0
-22,34325439;-49,07711639;27/09/2023;22;0;0;0;0;0;0;0;0;0;0
-22,28181396;-49,08674314;01/04/2022;15;1;0;1;0;0;1;0;0;0;0
-22,32045754;-49,12513336;20/05/2022;0;0;0;0;0;0;0;0;0;0;0
-22,31361493;-49,03347256;10/07/2023;12;1;0;0;0;0;1;0;0;0;1
-22,15773549;-49,16997489;20/08/2024;20;0;0;0;0;0;0;0;0;0;0
-22,3383491;-49,0760051;13/01/2024;12;1;0;0;0;0;0;0;0;0;0
-22,30215502;-49,05361885;01/01/2024;5;0;1;0;0;0;0;0;0;0;0
-22,33175622;-49,02621251;09/07/2022;22;0;0;0;0;0;0;0;0;0;0
-22,3280352;-49,0769537;31/08/2024;20;0;0;0;0;0;0;0;0;0;0
-22,34395075;-49,05767274;07/07/2023;2;0;0;0;0;0;0;0;0;0;0
-22,28899417;-49,07091918;03/12/2022;18;0;0;0;0;0;0;0;0;0;0
-22,30638734;-49,06500569;06/03/2024;15;0;0;0;0;0;0;0;0;0;0
-22,13553444;-49,10736478;09/09/2022;18;0;0;0;0;0;0;0;0;0;0
-22,20610068;-49,12838914;01/11/2024;14;0;0;0;0;0;0;0;0;0;0
-22,31462212;-49,07128123;28/03/2022;7;0;0;0;0;0;0;0;0;0;0
-22,33337213;-49,07535982;22/12/2022;0;0;0;0;0;0;0;0;0;0;0
-22,32036294;-49,06829938;28/08/2022;9;0;0;0;0;0;0;0;0;0;0
-22,32266304;-49,06135407;31/05/2024;8;0;0;0;0;0;0;0;0;0;0
-22,32750037;-49,08430549;19/01/2022;16;1;1;0;0;0;0;0;0;0;0
-22,2759495;-49,085944;20/04/2024;15;1;0;0;0;0;1;0;0;0;1
-22,35372023;-49,05832115;17/02/2024;4;0;0;0;0;0;0;0;0;0;0
-22,37828032;-49,06157434;23/07/2024;20;0;0;1;0;0;0;0;0;0;0
-22,29531052;-49,08073819;16/12/2022;22;0;0;0;0;0;0;0;0;0;0
-22,28181396;-49,08674314;15/11/2022;2;0;0;1;0;0;0;0;0;0;0
-22,33989031;-48,98516674;01/07/2023;21;0;0;0;0;0;0;0;0;0;0
-22,28181396;-49,08674314;24/07/2023;19;1;0;1;0;0;0;0;0;0;0
-22,33059767;-49,07598456;03/07/2023;12;1;0;0;0;0;0;0;0;0;0
-22,31999251;-49,12830501;31/07/2022;19;0;0;0;0;0;0;0;0;0;0
-22,33180868;-49,07793576;15/01/2025;7;1;0;0;0;0;0;0;0;0;0
-22,3175776;-49,0694456;13/07/2024;12;1;0;0;0;0;0;0;0;0;0
-22,337727;-49,05276;01/11/2023;3;0;0;0;0;0;0;0;0;0;0
-22,32290495;-49,07813031;08/04/2022;5;1;0;0;0;0;0;0;0;0;2
-22,32854693;-48,93129546;15/12/2023;22;0;0;1;0;0;0;0;0;0;0
-22,2396273;-49,139666;12/11/2023;18;0;0;1;0;0;0;0;0;0;0
-22,32666692;-49,05957511;30/01/2024;9;0;1;0;0;0;0;0;0;0;0
-22,37428439;-49,04888508;30/09/2022;22;1;0;0;0;0;0;0;0;0;0
-22,3258962;-49,07970414;08/04/2024;17;0;0;0;0;0;0;0;0;0;0
-22,31246792;-49,07178795;06/02/2022;13;1;1;0;0;0;0;0;0;0;0
-22,31036851;-49,12804896;18/02/2025;0;0;0;0;0;0;0;0;0;0;0
-22,31817024;-49,11414784;13/06/2023;7;1;0;0;0;0;1;0;0;0;1
-22,31413871;-49,02757077;14/06/2024;14;1;0;0;0;0;1;0;1;0;0
-22,32216148;-49,09039097;10/04/2024;12;1;0;0;0;0;0;0;0;0;0
-22,30683352;-49,10919324;14/11/2022;21;0;1;0;0;0;0;0;0;0;0
-22,339548;-49,0451103;25/05/2023;17;0;0;0;0;0;0;0;0;0;0
-22,20644514;-49,12971554;04/12/2022;13;0;0;0;0;0;0;0;0;0;0
-22,30249142;-49,08224194;16/07/2023;16;0;0;0;0;0;0;0;0;0;0
-22,307;-49,077297;26/11/2023;20;1;0;0;0;0;0;0;0;0;1
-22,30928366;-49,09902727;14/02/2023;13;1;0;0;0;0;0;0;0;0;0
-22,30594751;-49,00771035;25/08/2023;8;0;0;0;0;0;0;0;0;0;0
-22,35348424;-49,05388049;10/12/2024;14;0;0;0;0;0;0;0;0;0;0
-22,35219569;-49,05397738;28/02/2022;17;0;0;0;0;0;0;0;0;0;0
-22,31783574;-49,10394409;15/12/2024;13;0;1;0;0;0;0;0;0;0;0
-22,35710889;-49,05520703;25/09/2023;21;0;0;0;0;0;0;0;0;0;0
-22,34639324;-49,11839331;10/11/2023;13;0;0;0;0;0;0;0;0;0;0
-22,33059337;-49,07596508;21/09/2022;10;1;1;0;0;0;1;0;0;0;1
-22,338587;-49,049923;25/06/2023;2;1;0;0;0;0;0;0;0;0;0
-22,33467986;-49,08414928;03/04/2022;1;1;0;0;0;0;0;0;0;0;0
-22,32080817;-49,07155456;04/04/2024;8;1;0;0;0;0;0;0;0;0;0
-22,32199998;-49,06804235;25/05/2023;10;1;0;0;0;0;0;0;0;0;2
-22,31355928;-49,06715533;10/03/2024;10;0;0;0;0;0;0;0;0;0;0
-22,2954021;-49,07807672;20/06/2022;4;0;0;0;0;0;0;0;0;0;0
-22,3279944;-49,10866241;13/07/2022;3;0;0;0;0;0;0;0;0;0;0
-22,3258962;-49,07970414;08/12/2023;23;1;0;0;0;0;0;0;0;0;0
-22,34744698;-49,03093336;21/02/2022;1;0;0;0;0;0;0;0;0;0;0
-22,08308271;-49,18714364;02/05/2022;11;0;0;0;0;0;0;0;0;0;0
-22,3394567;-49,0513345;09/02/2022;6;0;0;0;0;0;0;0;0;0;0
-22,3318705;-49,09650506;25/10/2022;10;0;0;0;0;0;0;0;0;0;0
-22,23581429;-49,05651302;03/04/2022;1;0;0;0;0;0;0;0;0;0;0
-22,337727;-49,05276;18/07/2023;21;1;0;0;0;0;0;0;0;0;0
-22,3872022;-49,0733113;05/03/2022;18;0;0;1;0;0;0;0;0;0;0
-22,39077466;-49,05359484;07/08/2024;3;0;1;0;0;0;0;0;0;0;0
-22,32081662;-49,01381061;18/09/2022;19;0;0;0;0;0;0;0;0;0;0
-22,21898894;-49,04954947;05/06/2024;11;0;0;1;0;0;0;0;0;0;0
-22,3213085;-49,0798574;17/06/2024;14;1;0;0;0;0;0;0;0;0;0
-22,32341346;-49,05799756;11/07/2023;12;1;0;0;0;0;0;0;0;0;0
-22,2970216;-49,0711313;15/03/2022;17;0;0;0;0;0;0;0;0;0;0
-22,30985559;-49,03453331;02/12/2023;22;1;0;0;0;0;0;0;0;0;0
-22,31598133;-49,07377384;19/10/2022;1;0;1;0;0;0;0;0;0;0;0
-22,35034135;-49,04486816;02/12/2022;2;1;1;1;0;0;0;0;0;0;0
-22,31492236;-49,08502189;16/06/2024;0;0;0;0;0;0;0;0;0;0;0
-22,33228305;-49,05626616;26/10/2022;10;0;0;0;0;0;0;0;0;0;0
-22,37428439;-49,04888508;13/10/2022;22;0;0;0;0;0;0;0;0;0;0
-22,3024364;-49,00148484;03/01/2025;15;0;0;0;0;0;0;0;0;0;0
-22,33518696;-49,09792992;13/08/2022;8;1;0;0;1;0;1;0;0;0;0
-22,31378597;-49,08563799;23/02/2024;1;0;0;0;0;0;0;0;0;0;0
-22,31632865;-49,06967552;08/06/2023;10;1;0;0;0;0;0;0;0;0;2
-22,29495244;-49,09565639;27/01/2022;0;0;1;0;0;0;0;0;0;0;0
-22,3539542;-49,05645913;17/05/2024;11;0;1;0;0;0;0;0;0;0;0
-22,3258962;-49,07970414;04/08/2022;21;0;1;0;0;0;0;0;0;0;0
-22,3392997;-49,0575556;03/10/2024;18;1;0;0;0;0;0;0;0;0;0
-22,3196947;-49,0351499;05/01/2023;6;0;0;0;0;0;0;0;0;0;0
-22,30400104;-49,09703021;14/07/2024;23;1;0;0;0;0;0;0;0;0;0
-22,3199768;-49,07769603;08/03/2022;19;1;0;0;0;0;1;0;0;0;2
-22,24985691;-49,23955484;04/02/2024;12;0;0;0;0;0;0;0;0;0;0
-22,3163155;-49,10301686;18/05/2024;15;1;0;0;0;0;0;0;0;0;0
-22,30923286;-49,12494568;01/07/2022;15;0;0;0;0;0;0;0;0;0;0
-22,3193089;-49,0570441;31/08/2023;8;1;0;0;0;0;1;0;0;0;1
-22,37131032;-49,06087265;13/02/2023;17;1;0;0;0;0;1;0;0;0;1
-22,30138527;-49,0538052;27/08/2024;4;0;1;0;0;0;0;0;0;0;0
-22,2986325;-49,03768719;06/08/2022;5;0;0;0;0;0;0;0;0;0;0
-22,3258962;-49,07970414;29/06/2024;6;1;0;0;0;0;0;0;0;0;0
-22,29540431;-49,08483413;20/12/2022;21;0;0;0;0;0;0;0;0;0;0
-22,32245937;-49,07220038;11/08/2023;4;0;0;0;0;0;0;0;0;0;0
-22,36379069;-49,05847482;15/08/2024;6;0;0;0;0;0;0;0;0;0;0
-22,32155501;-49,11418754;22/12/2024;3;0;0;0;0;0;0;0;0;0;0
-22,30120458;-49,09670464;12/03/2024;21;0;0;0;0;0;0;0;0;0;0
-22,27212472;-49,04173441;12/03/2022;9;0;0;0;0;0;0;0;0;0;0
-22,32027338;-49,0683744;05/12/2024;17;1;0;0;0;0;0;0;0;0;0
-22,26189137;-49,10698719;11/04/2024;18;1;0;1;0;0;1;0;0;0;1
-22,3092773;-49,0815051;09/03/2023;9;0;0;0;0;0;0;0;0;0;0
-22,28045899;-49,07493322;17/11/2024;12;0;0;0;0;0;0;0;0;0;0
-22,32585141;-49,25191362;14/11/2023;2;0;0;0;0;0;0;0;0;0;0
-22,33360591;-49,05665865;08/03/2024;18;0;0;0;0;0;0;0;0;0;0
-22,3123724;-49,1097439;15/07/2024;20;1;0;0;0;0;0;0;0;0;0
-22,31783186;-49,06908195;12/08/2023;12;1;0;0;0;0;1;0;0;0;1
-22,32419561;-49,0769893;20/03/2024;6;0;0;0;0;0;0;0;0;0;0
-22,18148319;-49,07436125;12/08/2023;9;0;1;0;0;0;0;0;0;0;0
-22,19069501;-49,1956779;24/04/2024;0;0;0;0;0;0;0;0;0;0;0
-22,29212479;-49,05816907;06/03/2024;2;0;0;0;0;0;0;0;0;0;0
-22,34107867;-49,11376076;25/04/2022;7;1;0;0;0;0;1;0;0;0;1
-22,32073951;-49,06796927;23/03/2024;14;0;0;0;0;0;0;0;0;0;0
-22,33174965;-49,01397502;16/10/2022;2;1;0;1;0;0;1;0;0;0;0
-22,2909684;-49,0437712;09/12/2024;11;0;0;0;0;0;0;0;0;0;0
-22,31876503;-49,07287215;11/04/2023;14;1;0;0;0;0;0;0;0;0;0
-22,3211;-49,0124;30/01/2023;17;1;0;0;0;0;0;2;0;0;0
-22,21230282;-49,06146792;25/07/2022;13;0;0;0;0;0;0;0;0;0;0
-22,34301447;-48,95007843;19/10/2023;21;0;1;0;0;0;0;0;0;0;0
-22,33203124;-49,04847577;29/11/2023;23;0;1;0;0;0;0;0;0;0;0
-22,22342594;-49,21775651;19/11/2022;2;0;0;0;0;0;0;0;0;0;0
-22,34145381;-49,05764594;28/01/2023;11;0;0;0;0;0;0;0;0;0;0
-22,3402;-49,0727;05/02/2022;12;0;0;0;0;0;0;0;0;0;0
-22,32756085;-49,06749785;15/08/2023;13;1;0;0;0;0;0;2;0;0;0
-22,33618342;-49,08891439;06/01/2023;8;0;0;0;0;0;0;0;0;0;0
-22,34486306;-49,07017713;18/05/2023;0;0;1;0;0;0;0;0;0;0;0
-22,33409833;-49,0677748;01/09/2024;12;0;0;0;0;0;0;0;0;0;0
-22,34380203;-49,06459454;04/01/2024;20;0;1;0;0;0;0;0;0;0;0
-22,34162281;-49,07697723;28/02/2023;21;0;0;0;0;0;0;0;0;0;0
-22,32422653;-49,1206525;24/02/2022;21;0;0;0;0;0;0;0;0;0;0
-22,36104249;-49,10009338;08/10/2024;10;0;0;0;0;0;0;0;0;0;0
-22,3199981;-49,06132783;30/11/2022;14;0;0;0;0;0;0;0;0;0;0
-22,3069457;-49,05550267;08/05/2023;20;0;0;0;0;0;0;0;0;0;0
-22,30857533;-49,12105349;05/01/2023;3;0;0;0;0;0;0;0;0;0;0
-22,34311943;-49,28432027;13/08/2023;11;0;0;0;0;0;0;0;0;0;0
-22,32911881;-49,11632326;03/05/2022;8;0;0;0;0;0;0;0;0;0;0
-22,31002199;-49,09291451;18/12/2023;1;0;0;0;0;0;0;0;0;0;0
-22,32782566;-49,08126393;10/09/2022;18;1;0;0;0;0;0;0;0;0;0
-22,33180868;-49,07793576;21/09/2022;19;1;1;0;0;0;1;0;0;0;0
-22,3073344;-49,0757407;15/10/2024;23;0;0;0;0;0;0;0;0;0;0
-22,3271703;-49,1185117;04/02/2025;4;0;0;0;0;0;0;0;0;0;0
-22,29733418;-49,1098264;16/11/2024;2;1;0;1;0;0;1;0;0;0;0
-22,30037834;-49,09894239;23/10/2023;17;0;0;0;0;0;0;0;0;0;0
-22,3108408;-49,0634969;16/08/2023;8;0;0;0;0;0;0;0;0;0;0
-22,23707198;-49,16315609;02/08/2024;7;0;1;0;0;0;0;0;0;0;0
-22,34145381;-49,05764594;04/04/2023;18;0;0;0;0;0;0;0;0;0;0
-22,31920124;-49,03164155;19/03/2023;2;0;0;0;0;0;0;0;0;0;0
-22,31374651;-49,03381995;05/09/2022;8;1;0;0;0;0;0;0;0;0;0
-22,3307911;-49,0782269;07/10/2024;14;1;0;0;0;0;0;0;0;0;0
-22,33180868;-49,07793576;03/02/2024;21;0;0;0;0;0;0;0;0;0;0
-22,30405334;-49,0709574;12/10/2022;5;0;0;0;0;0;0;0;0;0;0
-22,30352573;-49,09773422;15/11/2024;11;0;0;0;0;0;0;0;0;0;0
-22,36765505;-49,04798853;21/03/2023;9;1;0;1;0;0;1;0;0;0;0
-22,31061052;-49,1084419;31/10/2024;10;0;1;0;0;0;0;0;0;0;0
-22,31118484;-49,06258956;25/11/2022;20;0;0;0;0;0;0;0;0;0;0
-22,27867779;-49,08559305;06/04/2024;7;0;1;0;0;0;0;0;0;0;0
-22,33221528;-49,01744031;11/06/2023;5;0;1;0;0;0;0;0;0;0;0
-22,37989736;-49,02883584;02/03/2022;5;0;0;0;0;0;0;0;0;0;0
-22,33106009;-49,11764752;30/12/2022;3;0;0;0;0;0;0;0;0;0;0
-22,2959857;-49,0672642;18/07/2022;1;0;0;0;0;0;0;0;0;0;0
-22,3563782;-49,09074488;06/01/2023;9;0;0;0;0;0;0;0;0;0;0
-22,34001781;-49,0596817;07/02/2024;6;1;0;0;0;0;1;0;0;0;1
-22,35912207;-49,0455613;27/06/2022;6;0;0;0;0;0;0;0;0;0;0
-22,2872902;-49,0347225;11/12/2023;2;1;1;0;0;0;0;0;0;0;0
-22,30612169;-49,10242493;18/02/2024;1;0;0;0;0;0;0;0;0;0;0
-22,30574677;-49,07645215;12/10/2022;2;0;0;0;0;0;0;0;0;0;0
-22,34942441;-48,97399621;16/04/2022;0;0;1;0;0;0;0;0;0;0;0
-22,17794758;-49,17791382;22/07/2022;14;0;0;0;0;0;0;0;0;0;0
-22,32169008;-49,07619036;12/10/2022;3;0;0;0;0;0;0;0;0;0;0
-22,35978691;-49,03924446;29/04/2022;2;1;0;0;0;0;0;0;0;0;0
-22,33614598;-49,09098754;27/04/2022;15;0;1;0;0;0;0;0;0;0;0
-22,2917781;-49,26616482;08/03/2022;4;0;0;0;0;0;0;0;0;0;0
-22,38144577;-49,02807575;15/12/2023;0;1;0;1;0;0;0;0;0;0;0
-22,37944228;-49,09632381;24/03/2023;2;0;0;0;0;0;0;0;0;0;0
-22,34816561;-49,06381214;09/08/2024;16;1;1;0;0;0;0;0;0;0;4
-22,33225781;-49,0862962;10/01/2022;9;1;0;0;0;0;1;0;0;0;1
-22,09094826;-49,15001834;12/11/2023;0;0;1;0;0;0;0;0;0;0;0
-22,27025944;-49,06817458;20/01/2025;0;0;0;0;0;0;0;0;0;0;0
-22,24056267;-49,13788321;21/12/2024;19;1;0;1;0;0;1;0;0;0;0
-22,34325439;-49,07711639;26/03/2022;17;1;0;0;0;0;0;0;0;0;0
-223393;-490506;07/12/2023;18;0;0;0;0;0;0;0;0;0;0
-22,34612764;-49,2747695;02/03/2023;22;0;0;0;0;0;0;0;0;0;0
-22,27882986;-49,04665368;24/08/2022;17;0;0;0;0;0;0;0;0;0;0
-22,28181396;-49,08674314;12/05/2022;3;0;0;1;0;0;0;0;0;0;0
-22,310614;-49,10918;04/08/2023;12;1;0;0;0;0;0;1;0;0;0
-22,34735664;-49,10431854;05/01/2025;1;0;0;0;0;0;0;0;0;0;0
-22,3189204;-49,029247;31/10/2023;14;1;1;0;0;0;0;0;0;0;0
-22,33177809;-49,08190723;17/12/2022;11;1;0;0;0;0;0;0;0;0;0
-22,3158396;-49,07300055;27/04/2023;5;0;0;0;0;0;0;0;0;0;0
-22,32826718;-48,93228221;07/05/2022;15;0;1;1;0;0;0;0;0;0;0
-22,32649415;-49,07040071;08/01/2024;7;0;0;0;0;0;0;0;0;0;0
-22,33271;-49,04501;19/12/2024;3;0;0;0;0;0;0;0;0;0;0
-22,30252662;-49,06816799;21/03/2023;15;0;1;0;0;0;0;0;0;0;0
-22,3260619;-49,10190114;25/07/2024;9;0;0;0;0;0;0;0;0;0;0
-22,21818837;-49,13222815;28/07/2023;11;0;0;0;0;0;0;0;0;0;0
-22,31705145;-49,08484687;07/08/2022;12;0;0;0;0;0;0;0;0;0;0
-22,3312897;-49,02291359;15/11/2023;2;0;1;0;0;0;0;0;0;0;0
-22,31248618;-49,07178331;09/04/2024;15;0;0;0;0;0;0;0;0;0;0
-22,32412046;-49,02225073;10/11/2023;10;0;1;0;0;0;0;0;0;0;0
-22,29750142;-49,07659355;25/07/2024;6;0;0;0;0;0;0;0;0;0;0
-22,29414116;-49,07233743;16/12/2023;10;0;1;1;0;0;0;0;0;0;0
-22,30810867;-49,09485571;13/10/2024;6;0;1;0;0;0;0;0;0;0;0
