latitude,longitude,data,dia_semana,mes,is_weekend,hora,Sinistro,Chuva,tipo_via_num,tp_veiculo_bicicleta,tp_veiculo_caminhao,tp_veiculo_motocicleta,tp_veiculo_nao_disponivel,tp_veiculo_onibus,tp_veiculo_outros,tp_veiculo_automovel
"-22,270563331952054","-49,060280228079854",2022-05-02,0,5,0,16,0,0,"0,0",0,0,0,0,0,0,0
"-22,36194979","-49,04052002",2024-04-23,1,4,0,9,0,0,"1,0",0,0,0,0,0,0,0
"-22,32004157","-49,06854976",2024-11-10,6,11,1,0,1,0,"0,0",0,0,0,0,0,0,0
"-22,32031503","-49,07734344",2023-02-19,6,2,1,15,1,0,"0,0",0,0,0,0,0,0,0
"-22,31258557433732","-49,08640782058242",2024-03-19,1,3,0,20,0,1,"0,0",0,0,0,0,0,0,0
"-22,30952953","-49,08647517",2023-09-21,3,9,0,6,0,0,"0,0",0,0,0,0,0,0,0
"-22,34325439","-49,07711639",2022-05-02,0,5,0,3,0,1,"0,0",0,0,0,0,0,0,0
"-22,33221081","-49,08626258",2023-12-21,3,12,0,11,0,0,"0,0",0,0,0,0,0,0,0
"-22,37428439","-49,04888508",2024-07-16,1,7,0,1,0,0,"0,0",0,0,0,0,0,0,0
"-22,313718270051346","-49,052010171144055",2024-04-18,3,4,0,3,0,0,"0,0",0,0,0,0,0,0,0
"-22,385979641294696","-49,08238304216383",2024-01-01,0,1,0,19,0,1,"0,0",0,0,0,0,0,0,0
"-22,37428439","-49,04888508",2024-03-10,6,3,1,6,0,1,"0,0",0,0,0,0,0,0,0
"-22,32070197","-49,07679038",2024-04-26,4,4,0,23,1,0,"0,0",0,0,0,0,0,0,2
"-22,304155823944615","-49,008722830832596",2024-06-07,4,6,0,0,0,1,"0,0",0,0,0,0,0,0,0
"-22,34883297","-49,11143688",2024-01-21,6,1,1,2,1,0,"0,0",0,0,0,0,0,0,0
"-22,3158559","-49,1456652",2024-05-04,5,5,1,0,1,0,"1,0",0,0,0,0,0,0,1
"-22,34978347","-49,03506967",2023-04-14,4,4,0,12,1,0,"0,0",0,0,0,0,0,0,0
"-22,310386568588022","-49,11169979407774",2022-01-04,1,1,0,17,0,0,"0,0",0,0,0,0,0,0,0
"-22,359494378425975","-49,033159086478584",2023-03-10,4,3,0,0,0,0,"0,0",0,0,0,0,0,0,0
"-22,33101508","-49,07609128",2022-05-05,3,5,0,19,0,1,"0,0",0,0,0,0,0,0,0
"-22,36535781217246","-49,03383732619353",2025-04-17,3,4,0,13,0,0,"0,0",0,0,0,0,0,0,0
"-22,345948864441773","-49,06477614520417",2022-11-23,2,11,0,6,0,0,"0,0",0,0,0,0,0,0,0
"-22,3266059","-49,071365",2024-08-29,3,8,0,4,0,0,"0,0",0,0,0,0,0,0,0
"-22,33343539","-49,08854432",2024-07-18,3,7,0,20,1,0,"0,0",0,0,0,0,0,0,1
"-22,32734223","-49,08419314",2022-08-06,5,8,1,3,0,1,"0,0",0,0,0,0,0,0,0
"-22,325198838809257","-49,07686917677387",2025-03-12,2,3,0,20,0,0,"0,0",0,0,0,0,0,0,0
"-22,31622996","-49,06233334",2022-07-15,4,7,0,10,1,0,"0,0",0,0,0,0,0,0,0
"-22,3287268","-49,0669337",2023-08-11,4,8,0,1,0,0,"0,0",0,0,0,0,0,0,0
"-22,337753","-49,050976",2023-07-01,5,7,1,16,1,0,"0,0",0,0,0,0,0,0,0
"-22,31212758329097","-49,11685293726021",2024-02-17,5,2,1,2,0,1,"0,0",0,0,0,0,0,0,0
"-22,33128665","-49,04993446",2023-03-13,0,3,0,18,1,0,"0,0",0,0,0,0,0,0,0
"-22,3481809","-49,0540798",2022-11-20,6,11,1,23,0,0,"0,0",0,0,0,0,0,0,0
"-22,31355928","-49,06715533",2023-01-14,5,1,1,23,0,0,"0,0",0,0,0,0,0,0,0
"-22,33483901","-49,09024681",2022-03-27,6,3,1,1,0,1,"0,0",0,0,0,0,0,0,0
"-22,382379577974152","-49,07810808458482",2022-11-22,1,11,0,23,0,0,"0,0",0,0,0,0,0,0,0
"-22,34512627969312","-49,09120978071635",2022-01-01,5,1,1,12,0,0,"0,0",0,0,0,0,0,0,0
